0		63.6289
1		36.6969
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		36.1864
15		0
16		0
17		0
18		0
19		38.2629
20		0
21		0
22		0
23		0
24		36.4591
25		0
26		0
27		0
28		0
29		0
30		0
31		37.2408
32		36.7685
33		0
34		0
35		0
36		0
37		0
38		40.2825
39		0
40		0
41		0
42		37.6265
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		36.0477
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		37.0063
61		0
62		0
63		0
64		0
65		34.8286
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		37.7264
77		36.5565
78		0
79		0
80		0
81		0
82		0
83		39.02
84		34.9648
85		0
86		0
87		0
88		63.654

#-------------------------------------
# i 	 HetN(i)
