0		60.8323
1		38.8631
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		36.4172
12		0
13		0
14		0
15		0
16		0
17		0
18		40.538
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		32.6436
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		26.9833
48		0
49		0
50		0
51		0
52		0
53		0
54		43.2969
55		0
56		0
57		0
58		0
59		0
60		0
61		34.5063
62		0
63		0
64		0
65		29.8309
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		41.3641
75		0
76		32.6225
77		0
78		0
79		0
80		0
81		0
82		33.4609
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		37.5101
104		45.5937
105		0
106		0
107		0
108		0
109		0
110		0
111		0
112		35.523
113		0
114		0
115		0
116		31.8052
117		0
118		0
119		0
120		0
121		0
122		36.2425
123		0
124		0
125		0
126		0
127		0
128		40.4263
129		0
130		0
131		0
132		0
133		0
134		0
135		0
136		0
137		0
138		0
139		0
140		0
141		0
142		0
143		0
144		0
145		47.5123
146		0
147		38.4852
148		0
149		0
150		0
151		0
152		0
153		0
154		0
155		0
156		0
157		33.4462
158		0
159		0
160		0
161		0
162		0
163		0
164		0
165		0
166		0
167		0
168		37.0162
169		0
170		0
171		0
172		0
173		0
174		0
175		0
176		0
177		0
178		0
179		0
180		0
181		0
182		0
183		0
184		0
185		0
186		0
187		0
188		31.1219
189		0
190		0
191		0
192		32.4042
193		0
194		0
195		0
196		0
197		47.3057
198		0
199		0
200		0
201		0
202		36.5264
203		0
204		0
205		0
206		41.4036
207		26.0082
208		0
209		0
210		0
211		0
212		38.3303
213		41.6651
214		0
215		0
216		0

#-------------------------------------
# i 	 HetN(i)
