0		64.3945
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		38.5089
13		0
14		0
15		0
16		0
17		0
18		0
19		37.2578
20		0
21		0
22		0
23		0
24		0
25		37.5352
26		0
27		0
28		0
29		0
30		38.2839
31		0
32		0
33		38.8898
34		0
35		0
36		0
37		0
38		0
39		35.5814
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		38.0813
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		37.0036
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		36.4617
67		38.1614
68		0
69		0
70		0
71		0
72		0
73		37.8744
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		36.9306
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		37.8502
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		37.1974
103		0
104		0
105		0
106		0
107		0
108		0
109		0
110		0
111		0
112		0
113		38.6742
114		0
115		37.6369
116		0
117		0
118		0
119		0
120		0
121		0
122		0
123		0
124		0
125		0
126		0
127		0
128		38.7345
129		0
130		0
131		0
132		0
133		38.3406
134		37.8249
135		0
136		0
137		0
138		0
139		0
140		0
141		38.3995
142		0
143		0
144		0
145		0
146		37.7063
147		0
148		36.7138
149		0
150		0
151		0
152		0
153		0
154		37.466
155		0
156		0
157		0
158		0
159		0
160		0
161		0
162		0
163		39.7668
164		0
165		0
166		0
167		0
168		0
169		0
170		0
171		0
172		35.9441
173		0
174		0
175		0
176		0
177		0
178		0
179		38.2218
180		2.0185
181		0
182		0
183		0
184		0
185		0
186		0
187		0
188		0
189		0
190		37.7729
191		38.6484
192		0
193		0
194		0
195		0
196		0
197		0
198		0
199		0
200		0
201		0
202		38.2881
203		0
204		0
205		0
206		0
207		0
208		0
209		35.4472
210		0
211		0
212		0
213		0
214		0
215		0
216		0
217		0
218		38.353
219		0
220		0
221		0
222		0
223		0
224		0
225		0
226		0
227		0
228		37.6193
229		0
230		0
231		0
232		0
233		0
234		0
235		0
236		0
237		38.3689
238		0
239		0
240		0
241		0
242		0
243		0
244		0
245		35.3332
246		0
247		0
248		0
249		0
250		0
251		0
252		37.9466
253		0
254		0
255		0
256		0
257		0
258		0
259		0
260		0
261		63.4949

#-------------------------------------
# i 	 HetN(i)
